obs,time,deployment,conductivity,SSP,Depth ,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('25',)",3748835213,11,3.569050074,1484.660615,70.53869556,3767111115,3767111252,3748835213,0,internal_timestamp,71.03500366,1539846413,33.77399826,0,8.65170002,1026.540234,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('26',)",3748835213,11,3.569060087,1484.66059,70.54463653,3767111115,3767111252,3748835213,0,internal_timestamp,71.04100037,1539846413,33.77420044,0,8.651599884,1026.540435,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('27',)",3748835213,11,3.569060087,1484.660405,70.54859874,3767111115,3767111252,3748835213,0,internal_timestamp,71.04499817,1539846413,33.77429962,0,8.651499748,1026.540547,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('28',)",3748835213,11,3.569060087,1484.660484,70.55356708,3767111115,3767111252,3748835213,0,internal_timestamp,71.05000305,1539846413,33.77429962,0,8.651499748,1026.54057,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('29',)",3748835213,11,3.569050074,1484.660175,70.55753462,3767111115,3767111252,3748835213,0,internal_timestamp,71.05400085,1539846413,33.77429962,0,8.651399612,1026.540603,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('30',)",3748835213,11,3.569050074,1484.660114,70.56150857,3767111115,3767111252,3748835213,0,internal_timestamp,71.05799866,1539846413,33.77420044,0,8.651399612,1026.540544,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('31',)",3748835213,11,3.569050074,1484.660566,70.56647798,3767111115,3767111252,3748835213,0,internal_timestamp,71.06300354,1539846413,33.77420044,0,8.651499748,1026.540551,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('32',)",3748835213,11,3.56904006,1484.660313,70.56648887,3767111115,3767111252,3748835213,0,internal_timestamp,71.06300354,1539846413,33.77399826,0,8.651499748,1026.540393,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('33',)",3748835213,11,3.569030046,1484.659988,70.56946426,3767111115,3767111252,3748835213,0,internal_timestamp,71.06600189,1539846413,33.77399826,0,8.651399612,1026.540422,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('34',)",3748835213,11,3.56904006,1484.660164,70.57243517,3767111115,3767111252,3748835213,0,internal_timestamp,71.06900024,1539846413,33.77410126,0,8.651399612,1026.540517,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('35',)",3748835213,11,3.569050074,1484.66032,70.57441414,3767111115,3767111252,3748835213,0,internal_timestamp,71.07099915,1539846413,33.77420044,0,8.651399612,1026.540603,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('36',)",3748835213,11,3.569060087,1484.660279,70.57936316,3767111115,3767111252,3748835213,0,internal_timestamp,71.0759964,1539846413,33.7743988,0,8.65130043,1026.540797,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('37',)",3748835213,11,3.569070101,1484.660564,70.58134415,3767111115,3767111252,3748835213,0,internal_timestamp,71.07800293,1539846413,33.77460098,0,8.65130043,1026.540965,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('38',)",3748835213,11,3.569080114,1484.660331,70.5823299,3767111115,3767111252,3748835213,0,internal_timestamp,71.07900238,1539846413,33.77470016,0,8.651200294,1026.541062,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('39',)",3748835213,11,3.569080114,1484.660767,70.58629958,3767111115,3767111252,3748835213,0,internal_timestamp,71.08300018,1539846413,33.77470016,0,8.65130043,1026.541065,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('40',)",3748835213,11,3.569070101,1484.660614,70.59226318,3767111115,3767111252,3748835213,0,internal_timestamp,71.08899689,1539846413,33.7745018,0,8.65130043,1026.540937,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('41',)",3748835213,11,3.569070101,1484.661015,70.59425612,3767111115,3767111252,3748835213,0,internal_timestamp,71.09100342,1539846413,33.7745018,0,8.651399612,1026.540931,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('42',)",3748835213,11,3.569080114,1484.661,70.59325639,3767111115,3767111252,3748835213,0,internal_timestamp,71.08999634,1539846413,33.7745018,0,8.651399612,1026.540926,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('43',)",3748835213,11,3.56908989,1484.661357,70.59226531,3767111115,3767111252,3748835213,0,internal_timestamp,71.08899689,1539846413,33.7745018,0,8.651499748,1026.540906,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('44',)",3748835213,11,3.569099903,1484.661545,70.59623615,3767111115,3767111252,3748835213,0,internal_timestamp,71.09300232,1539846413,33.77460098,0,8.651499748,1026.541002,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('45',)",3748835213,11,3.569109917,1484.661949,70.59822153,3767111115,3767111252,3748835213,0,internal_timestamp,71.09500122,1539846413,33.77460098,0,8.651599884,1026.540996,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('46',)",3748835214,11,3.569099903,1484.662246,70.6012044,3767111115,3767111252,3748835214,0,internal_timestamp,71.09799957,1539846414,33.7745018,0,8.65170002,1026.540916,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('47',)",3748835214,11,3.56908989,1484.662009,70.60220744,3767111115,3767111252,3748835214,0,internal_timestamp,71.09899902,1539846414,33.77429962,0,8.65170002,1026.540762,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('48',)",3748835214,11,3.569070101,1484.661884,70.60221278,3767111115,3767111252,3748835214,0,internal_timestamp,71.09899902,1539846414,33.77420044,0,8.65170002,1026.540685,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('49',)",3748835214,11,3.569070101,1484.661575,70.60618032,3767111115,3767111252,3748835214,0,internal_timestamp,71.10299683,1539846414,33.77420044,0,8.651599884,1026.540719,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('50',)",3748835214,11,3.569070101,1484.66131,70.60518176,3767111115,3767111252,3748835214,0,internal_timestamp,71.10199738,1539846414,33.77429962,0,8.651499748,1026.540807,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('51',)",3748835214,11,3.569070101,1484.661466,70.60716072,3767111115,3767111252,3748835214,0,internal_timestamp,71.10399628,1539846414,33.7743988,0,8.651499748,1026.540894,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('52',)",3748835214,11,3.569060087,1484.661,70.60915687,3767111115,3767111252,3748835214,0,internal_timestamp,71.10600281,1539846414,33.77429962,0,8.651399612,1026.540841,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('53',)",3748835214,11,3.569060087,1484.661141,70.61014368,3767111115,3767111252,3748835214,0,internal_timestamp,71.10700226,1539846414,33.7743988,0,8.651399612,1026.540923,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('54',)",3748835214,11,3.569060087,1484.660771,70.61014262,3767111115,3767111252,3748835214,0,internal_timestamp,71.10700226,1539846414,33.7743988,0,8.65130043,1026.540939,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('55',)",3748835214,11,3.569050074,1484.660398,70.61014155,3767111115,3767111252,3748835214,0,internal_timestamp,71.10700226,1539846414,33.7743988,0,8.651200294,1026.540954,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('56',)",3748835214,11,3.56904006,1484.659961,70.60616429,3767111115,3767111252,3748835214,0,internal_timestamp,71.10299683,1539846414,33.7743988,0,8.651100159,1026.540952,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
"('57',)",3748835214,11,3.56904006,1484.660009,70.60914833,3767111115,3767111252,3748835214,0,internal_timestamp,71.10600281,1539846414,33.7743988,0,8.651100159,1026.540965,29,13,29,13,29,29,29,13,29,29,44.637117,-124.302617
